Date,Close
2/15/2019,234.89
2/19/2019,234.58
2/20/2019,229.5
2/21/2019,230.01
2/22/2019,235
2/25/2019,237
2/26/2019,236.21
2/27/2019,240.31
2/28/2019,239.44
3/1/2019,243.52
3/4/2019,236.97
3/5/2019,236
3/6/2019,233.11
3/7/2019,233.37
3/8/2019,233.95
3/11/2019,239.86
3/12/2019,238.71
3/13/2019,240.39
3/14/2019,241.59
3/15/2019,241.89
3/18/2019,240.98
3/19/2019,241.96
3/20/2019,244.59
3/21/2019,250.95
3/22/2019,241.21
3/25/2019,241.7
3/26/2019,245
3/27/2019,241.37
3/28/2019,243.33
3/29/2019,246.49
4/1/2019,245.73
4/2/2019,246.82
4/3/2019,247.14
4/4/2019,237.03
4/5/2019,236.98
4/8/2019,237.21
4/9/2019,238.76
4/10/2019,243.66
4/11/2019,245.77
4/12/2019,244.3
4/15/2019,243.79
4/16/2019,239.81
4/17/2019,236.23
4/18/2019,237.4
4/22/2019,242.64
4/23/2019,243.55
4/24/2019,242.7
4/25/2019,260.69
4/26/2019,267.08
4/29/2019,271.69
4/30/2019,271.51
5/1/2019,270.4
